"","tracts","est","ci_l","ci_h","p","pFDR"
"52","radEAD_ATRR",0.0386314288651199,-0.11927387586627,0.19653673359651,0.60069760291251,0.999339937233234
"53","v_intra_CSTL",0.0642094269131905,-0.114192554313428,0.242611408139809,0.389540601137044,0.999339937233234
"54","v_extra_CSTL",-0.087042340590893,-0.263546219014133,0.0894615378323466,0.248288363896022,0.999339937233234
"55","v_csf_CSTL",-0.0195358096810295,-0.199392564777589,0.16032094541553,0.770159492722871,0.999339937233234
"56","micro_Rd_CSTL",-0.022115689722967,-0.193639159284403,0.149407779838469,0.840812286864754,0.999339937233234
"57","micro_FA_CSTL",0.0281150455019394,-0.150825367837627,0.207055458841505,0.688840343307877,0.999339937233234
"58","micro_Ax_CSTL",0.0354966047596969,-0.144404998176677,0.215398207696071,0.611997896189896,0.999339937233234
"59","micro_ADC_CSTL",0.0133120486061786,-0.165161996149581,0.191786093361938,0.87865052417171,0.999339937233234
"60","Dax_intra_CSTL",0.00317266437950364,-0.176749705047717,0.183095033806724,0.96521905300049,0.999339937233234
"61","Dax_extra_CSTL",0.0162398545284558,-0.163696032101236,0.196175741158148,0.820773565433753,0.999339937233234
"62","mk_CSTL",0.137921740220572,-0.038534859924499,0.314378340365644,0.174597577990077,0.999339937233234
"63","rk_CSTL",0.0725428760173121,-0.102299793358442,0.247385545393066,0.362731310171299,0.999339937233234
"64","ak_CSTL",0.213359536273625,0.0343412995659931,0.392377772981257,0.118926890839817,0.999339937233234
"65","FA_CSTL",-0.103399634776007,-0.272241883922016,0.0654426143700009,0.235614096474765,0.999339937233234
"66","MD_CSTL",-0.0942402846272868,-0.266990955188267,0.0785103859336937,0.224224945785835,0.999339937233234
"67","RD_CSTL",-0.00920294137492716,-0.178688042669463,0.160282159919609,0.907347713523532,0.999339937233234
"68","AD_CSTL",-0.208144896576771,-0.386031914088476,-0.0302578790650669,0.0285294174961354,0.999339937233234
"69","smt_fa_CSTL",0.117503712320416,-0.0587349498013886,0.293742374442221,0.0522806339839882,0.999339937233234
"70","smt_long_CSTL",-0.0266698757873724,-0.203697210694748,0.150357459120003,0.769576390978762,0.999339937233234
"71","smt_md_CSTL",-0.0578407443457863,-0.232362870561582,0.116681381870009,0.506795493961205,0.999339937233234
"72","smt_trans_CSTL",-0.113863897328148,-0.286211161371492,0.0584833667151965,0.116760033038154,0.999339937233234
"73","smt_mc_intra_CSTL",0.107110997623326,-0.0667325445069902,0.280954539753642,0.175161767022584,0.999339937233234
"74","smt_mc_extramd_CSTL",-0.084127539229126,-0.259084631444092,0.0908295529858404,0.344707757799465,0.999339937233234
"75","smt_mc_extratrans_CSTL",-0.100276702950452,-0.272263770601824,0.0717103647009198,0.219227930883641,0.999339937233234
"76","smt_mc_diff_CSTL",-0.000135108779794191,-0.180007260946898,0.17973704338731,0.99872729467456,0.999339937233234
"77","awf_CSTL",0.07220245309362,-0.100349414204872,0.244754320392112,0.393622337850164,0.999339937233234
"78","radEAD_CSTL",0.208165295249898,0.0321891850633742,0.384141405436422,0.265762904520782,0.999339937233234
"79","v_intra_CSTR",0.045882717720205,-0.132841800892257,0.224607236332667,0.543551229580744,0.999339937233234
