"","regions","est","ci_l","ci_h","p","pFDR"
"635","MD_InferiorcerebellarpeduncleR",-0.0403809452660274,-0.223400199710277,0.142638309178222,0.674120659455651,0.880945113089689
"636","MD_InferiorcerebellarpeduncleL",-0.0492998180366745,-0.229922745523893,0.131323109450544,0.582194289951695,0.831727553519395
"637","MD_SuperiorcerebellarpeduncleR",0.162954363030071,-0.0202845617200201,0.346193287780162,0.0951204302197133,0.459408819402687
"638","MD_SuperiorcerebellarpeduncleL",0.246157654234722,0.063414916342062,0.428900392127382,0.00948333437710734,0.160791875729712
"639","MD_CerebralpeduncleR",0.118532035558274,-0.0628632722935606,0.299927343410108,0.124489762123603,0.488624324861992
"640","MD_CerebralpeduncleL",0.0170250749146161,-0.162071792413917,0.196121942243149,0.831550078797021,0.940041331362344
"641","MD_AnteriorlimbofinternalcapsuleR",-0.0499593113490926,-0.218533267013659,0.118614644315473,0.483523713372116,0.781654914881348
"642","MD_AnteriorlimbofinternalcapsuleL",-0.0132335999612112,-0.185884588911094,0.159417388988672,0.914520770673166,0.972087638265377
"643","MD_.PosteriorlimbofinternalcapsuleR",-0.0790984692438284,-0.258566322638726,0.100369384151069,0.326087976687418,0.688803116911953
"644","MD_PosteriorlimbofinternalcapsuleL",0.00891126269297998,-0.168409277799701,0.186231803185661,0.924078076873219,0.974794998797406
"645","MD_RetrolenticularpartofinternalcapsuleR",-0.0423634964646213,-0.218023792412578,0.133296799483336,0.628110202091051,0.853132969359287
"646","MD_RetrolenticularpartofinternalcapsuleL",-0.0184257355603773,-0.194753771822688,0.157902300701933,0.839537030208468,0.941367667295748
"647","MD_AnteriorcoronaradiataR",-0.112802592477331,-0.277224879545662,0.0516196945909997,0.124514833844353,0.488624324861992
"648","MD_AnteriorcoronaradiataL",-0.0572037072222773,-0.224251731185028,0.109844316740474,0.601957788610586,0.836559326764552
"649","MD_SuperiorcoronaradiataR",-0.0869562072095134,-0.255079522991259,0.0811671085722318,0.288435754858706,0.668611792483886
"650","MD_SuperiorcoronaradiataL",-0.0591532565159116,-0.226196790546405,0.107890277514582,0.539382392874359,0.817921295634508
"651","MD_PosteriorcoronaradiataR",-0.0315887214785702,-0.19762407167992,0.13444662872278,0.701992095918554,0.888890604411274
"652","MD_PosteriorcoronaradiataL",-0.0395912214008702,-0.209165978416727,0.129983535614986,0.637381809940688,0.858030106742573
"653","MD_PosteriorthalamicradiationR",0.0532930390316389,-0.121231893435652,0.22781797149893,0.558662311166162,0.825592125696417
"654","MD_PosteriorthalamicradiationL",-2.05683071170303e-05,-0.170944178779494,0.17090304216526,0.999799171760616,0.999799171760616
"655","MD_SagittalstratumR",-0.0878402021557721,-0.260227998375849,0.0845475940643053,0.300001597509778,0.675182476029502
"656","MD_SagittalstratumL",-0.0109148616089556,-0.183308252546304,0.161478529328393,0.887134019199824,0.95813862549402
"657","MD_ExternalcapsuleR",-0.153614862853222,-0.323797670611863,0.0165679449054186,0.0217479914143267,0.270173178404662
"658","MD_ExternalcapsuleL",-0.026993883688735,-0.199335383699101,0.145347616321631,0.832974750235481,0.940059461694865
"659","MD_CingulumcingulategyrusR",-0.136254190644431,-0.315837523151557,0.0433291418626949,0.0953420546677051,0.459408819402687
"660","MD_CingulumcingulategyrusL",-0.128118390247067,-0.307753516089804,0.0515167355956694,0.130704782934091,0.498836602757632
"661","MD_CingulumhippocampusR",-0.22674757315374,-0.409519768312932,-0.0439753779945485,0.00411393638315457,0.105182030075725
"662","MD_CingulumhippocampusL",-0.0146213416385753,-0.197315714575643,0.168073031298492,0.890312641162023,0.958352570871677
"663","MD_Fornix_StriaterminalisR",0.136174178891781,-0.029287323159701,0.301635680943264,0.143902651935537,0.510001473624595
"664","MD_Fornix_StriaterminalisL",0.18637796702275,0.0103013396635453,0.362454594381955,0.117520482953186,0.486198164699646
