"","tracts","est","ci_l","ci_h","p","pFDR"
"150","smt_trans_CINGR",-0.106689828435637,-0.280471090286659,0.0670914334153854,0.177868033519423,0.751538873747432
"151","smt_mc_intra_CINGR",0.114537020124684,-0.062807608177752,0.291881648427119,0.155037039418713,0.751538873747432
"152","smt_mc_extramd_CINGR",-0.0705919172531112,-0.249514624513968,0.108330790007746,0.403492387086151,0.877925661898187
"153","smt_mc_extratrans_CINGR",-0.114543054502486,-0.28976885101033,0.0606827420053593,0.163031621440107,0.751538873747432
"154","smt_mc_diff_CINGR",0.0313512915659252,-0.151682382656861,0.214384965788711,0.718785072658729,0.966917947956164
"155","awf_CINGR",0.170593305666075,-0.00404712205554703,0.345233733387696,0.0548497461111409,0.609937102955221
"156","radEAD_CINGR",-0.0513816430280941,-0.21346651638936,0.110703230333172,0.498688005333437,0.9130907139908
"157","v_intra_CGL",0.0877752677005368,-0.0913511724844693,0.266901707885543,0.365357342856195,0.839299905648052
"158","v_extra_CGL",-0.131567590759052,-0.312623526049593,0.0494883445314895,0.160328810457486,0.751538873747432
"159","v_csf_CGL",-0.11335666285515,-0.292643916258112,0.0659305905478123,0.259657177367257,0.785010071110313
"160","micro_Rd_CGL",-0.233803352421916,-0.406264125145369,-0.0613425796984629,0.00508694465287326,0.398502621603222
"161","micro_FA_CGL",0.108497729289861,-0.0712732047304475,0.28826866331017,0.270360497602319,0.786687657405068
"162","micro_Ax_CGL",-0.16762006490701,-0.350761713856121,0.0155215840421006,0.116237444042023,0.706640580132115
"163","micro_ADC_CGL",-0.239452447769538,-0.41786964673882,-0.0610352488002559,0.00837609285650544,0.467840630225804
"164","Dax_intra_CGL",-0.14373715192135,-0.327106879721093,0.0396325758783928,0.175122635060656,0.751538873747432
"165","Dax_extra_CGL",-0.182357806222614,-0.365589023032557,0.000873410587329621,0.0819657863686721,0.65063045398133
"166","mk_CGL",0.110103999687485,-0.0648283303927877,0.285036329767758,0.17414799854377,0.751538873747432
"167","rk_CGL",0.127707286913085,-0.0451122525679395,0.300526826394109,0.158985598902453,0.751538873747432
"168","ak_CGL",0.138480049392227,-0.0431343673066279,0.320094466091081,0.0569582889147771,0.609937102955221
"169","FA_CGL",0.143653511165403,-0.0234280925361344,0.31073511486694,0.0989349464762469,0.661545458462323
"170","MD_CGL",-0.196127544706247,-0.368271130519677,-0.0239839588928163,0.0138582882762137,0.484884354419055
"171","RD_CGL",-0.178278002462134,-0.345843764877219,-0.0107122400470484,0.0288275638479053,0.527189648069089
"172","AD_CGL",-0.142490519842699,-0.324319694853259,0.0393386551678622,0.0832284380421724,0.65063045398133
"173","smt_fa_CGL",0.129327680571589,-0.0488884194107586,0.307543780553937,0.0843161944981882,0.65063045398133
"174","smt_long_CGL",-0.106695062981156,-0.286213226436433,0.0728231004741216,0.202061251854618,0.758204579704685
"175","smt_md_CGL",-0.140829881893922,-0.315947998352238,0.0342882345643941,0.0839415361834166,0.65063045398133
"176","smt_trans_CGL",-0.175482990760537,-0.348260453058921,-0.00270552846215363,0.0279204683992006,0.527189648069089
"177","smt_mc_intra_CGL",0.159624083701724,-0.0164849235492471,0.335733090952695,0.0545336360624317,0.609937102955221
"178","smt_mc_extramd_CGL",-0.146413724592808,-0.322119086417016,0.0292916372314008,0.0574748423938574,0.609937102955221
"179","smt_mc_extratrans_CGL",-0.178805066958866,-0.350406083707125,-0.0072040502106071,0.0280774074473133,0.527189648069089
"180","smt_mc_diff_CGL",0.035958612295416,-0.147321776318173,0.219239000909005,0.658031440933615,0.960328720443831
"181","awf_CGL",0.158649149521685,-0.0133735421479972,0.330671841191367,0.0781095454268895,0.65063045398133
"182","radEAD_CGL",-0.25769201363699,-0.44015954888489,-0.0752244783890905,0.00119780703029986,0.294191528999355
"183","v_intra_CGR",0.071196733958338,-0.108712091586929,0.251105559503605,0.468279710813447,0.901651218028642
"184","v_extra_CGR",-0.11415701811764,-0.295745169790208,0.0674311335549274,0.23129674803302,0.758204579704685
"185","v_csf_CGR",-0.089844931186303,-0.269806074533093,0.090116212160487,0.365670844693704,0.839299905648052
"186","micro_Rd_CGR",-0.194472804469836,-0.37177305054112,-0.0171725583985529,0.0200764998136349,0.527189648069089
"187","micro_FA_CGR",0.0876044953239261,-0.0932420910739064,0.268451081721759,0.370170237864535,0.840561238819032
"188","micro_Ax_CGR",-0.151654109174691,-0.334751923499392,0.03144370515001,0.170532094989667,0.751538873747432
"189","micro_ADC_CGR",-0.208031951943206,-0.38872354833978,-0.0273403555466326,0.0217077972748322,0.527189648069089
"190","Dax_intra_CGR",-0.151281284217147,-0.334552598108293,0.0319900296739983,0.165890557268754,0.751538873747432
"191","Dax_extra_CGR",-0.183263031334475,-0.366480273801654,-4.57888672965312e-05,0.0871374342390432,0.65063045398133
"192","mk_CGR",0.0792183877983911,-0.0968912396028269,0.255328015199609,0.306375140693957,0.808705955131257
"193","rk_CGR",0.125240196544034,-0.0493289604795038,0.299809353567573,0.153241326414715,0.751538873747432
"194","ak_CGR",0.0841583609492903,-0.0966633085215242,0.264980030420105,0.232794795907661,0.758204579704685
