"","regions","est","ci_l","ci_h","p","pFDR"
"34","v_intra_ExternalcapsuleL",0.0628302731529489,-0.116327479154651,0.241988025460549,0.448479304377141,0.998513926870589
"35","v_intra_CingulumcingulategyrusR",0.00121251295154975,-0.175398016886394,0.177823042789494,0.988617642216703,0.999368926712423
"36","v_intra_CingulumcingulategyrusL",-0.0453654279029131,-0.220896454712874,0.130165598907048,0.561717052443307,0.998513926870589
"37","v_intra_CingulumhippocampusR",-0.0527779389585513,-0.230254027580424,0.124698149663322,0.556629002869831,0.998513926870589
"38","v_intra_CingulumhippocampusL",-0.0688663600141599,-0.244859892419416,0.107127172391097,0.456309219113279,0.998513926870589
"39","v_intra_Fornix_StriaterminalisR",0.0736280048270493,-0.102627092217794,0.249883101871893,0.380082840664001,0.998513926870589
"40","v_intra_Fornix_StriaterminalisL",0.0207030124902587,-0.155917246602027,0.197323271582544,0.797195594988834,0.998513926870589
"41","v_intra_SuperiorlongitudinalfasciculusR",-0.0266810155748743,-0.204629082673813,0.151267051524065,0.721010035505925,0.998513926870589
"42","v_intra_SuperiorlongitudinalfasciculusL",-0.0364339187434991,-0.214103257830403,0.141235420343405,0.630886912600105,0.998513926870589
"43","v_intra_SuperiorfrontooccipitalfasciculusR",0.120215093169524,-0.0577189026050418,0.29814908894409,0.161537798857166,0.998513926870589
"44","v_intra_SuperiorfrontooccipitalfasciculusL",0.105865894535871,-0.0710498117003389,0.282781600772082,0.1949988311873,0.998513926870589
"45","v_intra_UncinatefasciculusR",-0.00710565116603354,-0.183670436608991,0.169459134276923,0.926936579024876,0.998513926870589
"46","v_intra_UncinatefasciculusL",0.0255668206859136,-0.151526824683763,0.20266046605559,0.720180854107649,0.998513926870589
"47","v_intra_TapetumR",0.0320323015653986,-0.132273071882072,0.19633767501287,0.687437249020527,0.998513926870589
"48","v_intra_TapetumL",0.0110694412493905,-0.157861857815379,0.18000074031416,0.885251172000003,0.998513926870589
"49","v_extra_Middlecerebellarpeduncle",-0.0442446193727374,-0.218485589762633,0.129996351017158,0.609690723845266,0.998513926870589
"50","v_extra_Pontine",-0.000367688896939421,-0.180291813630637,0.179556435836758,0.996029441940895,0.999368926712423
"51","v_extra_GenuCC",0.0665849381132669,-0.110670199970592,0.243840076197125,0.445227214222208,0.998513926870589
"52","v_extra_BodyCC",0.108660985056014,-0.0709299031658557,0.288251873277884,0.2361522112255,0.998513926870589
"53","v_extra_SpleniumCC",0.010798041235489,-0.16540575144251,0.187001833913488,0.893625774073362,0.998513926870589
"54","v_extra_Fornix",-0.024409813808937,-0.196982756317118,0.148163128699244,0.707727761144958,0.998513926870589
"55","v_extra_CorticospinaltractR",-0.117466116154383,-0.294417730219036,0.0594854979102706,0.112418060093271,0.946256043061619
"56","v_extra_CorticospinaltractL",-0.16730410093196,-0.344372676775903,0.0097644749119824,0.00536319139707096,0.372342030045935
"57","v_extra_MediallemniscusR",0.0200358263172566,-0.159299656430453,0.199371309064966,0.82759795835078,0.998513926870589
"58","v_extra_MediallemniscusL",0.0153469903209615,-0.16388860739743,0.194582588039353,0.865846849762438,0.998513926870589
"59","v_extra_InferiorcerebellarpeduncleR",0.0564580834793049,-0.123347886647984,0.236264053606593,0.586764127030255,0.998513926870589
"60","v_extra_InferiorcerebellarpeduncleL",0.0374890408583545,-0.142319901456619,0.217297983173328,0.709429233621112,0.998513926870589
"61","v_extra_SuperiorcerebellarpeduncleR",-0.08263104673529,-0.256869279961116,0.0916071864905364,0.262280650172854,0.998513926870589
"62","v_extra_SuperiorcerebellarpeduncleL",-0.186442998591825,-0.36397367360308,-0.00891232358057023,0.0224238862267794,0.591681612114109
"63","v_extra_CerebralpeduncleR",-0.017450223829567,-0.192107580978182,0.157207133319048,0.833079427359687,0.998513926870589
"64","v_extra_CerebralpeduncleL",0.0225721039851977,-0.153379515291195,0.19852372326159,0.756424579482638,0.998513926870589
"65","v_extra_AnteriorlimbofinternalcapsuleR",-0.0613285688919506,-0.240524217312568,0.117867079528666,0.488123057527427,0.998513926870589
"66","v_extra_AnteriorlimbofinternalcapsuleL",-0.0223750535640615,-0.201501011271694,0.156750904143571,0.808744595006918,0.998513926870589
"67","v_extra_.PosteriorlimbofinternalcapsuleR",-0.0450828296492573,-0.223910299488283,0.133744640189769,0.592505709813229,0.998513926870589
"68","v_extra_PosteriorlimbofinternalcapsuleL",-0.119706412075462,-0.296595807381111,0.0571829832301879,0.176659688093794,0.998513926870589
"69","v_extra_RetrolenticularpartofinternalcapsuleR",0.0417181999800909,-0.137414568272465,0.220850968232647,0.562415700532577,0.998513926870589
"70","v_extra_RetrolenticularpartofinternalcapsuleL",0.00406247451454857,-0.174769785529487,0.182894734558584,0.959853458788781,0.999368926712423
"71","v_extra_AnteriorcoronaradiataR",-0.00580385427637046,-0.181720312438566,0.170112603885825,0.949467576641187,0.999368926712423
