"","regions","est","ci_l","ci_h","p","pFDR"
"573","ak_UncinatefasciculusR",0.0726966369865267,-0.107366651021327,0.25275992499438,0.390710261759712,0.853245870895322
"574","ak_UncinatefasciculusL",0.0312037324364665,-0.149947659223632,0.212355124096565,0.64820820609506,0.888264651101843
"575","ak_TapetumR",-0.0523383483409812,-0.228512444056322,0.12383574737436,0.523997821874614,0.870178335827466
"576","ak_TapetumL",0.150398482121256,-0.0242919058674702,0.325088870109982,0.0506449992964354,0.461350066583587
"577","FA_Middlecerebellarpeduncle",0.047661043231652,-0.126447501801901,0.221769588265205,0.572447462087341,0.870178335827466
"578","FA_Pontine",-0.081001822146982,-0.262697011579378,0.100693367285414,0.394474194737318,0.853245870895322
"579","FA_GenuCC",0.104785979491452,-0.0569331406797568,0.26650509966266,0.17808045057982,0.685939513344493
"580","FA_BodyCC",0.195275087798306,0.0269215946172788,0.363628580979333,0.0184583688879293,0.307147258295144
"581","FA_SpleniumCC",0.000938437666785837,-0.172012077165411,0.173888952498983,0.990600483729001,0.996188077110228
"582","FA_Fornix",-0.209888068539713,-0.359728312638172,-0.0600478244412544,0.00732627303433561,0.16040682012019
"583","FA_CorticospinaltractR",0.0471716379367609,-0.131050874840699,0.225394150714221,0.56180436011802,0.870178335827466
"584","FA_CorticospinaltractL",0.0516676793236419,-0.127358657890214,0.230694016537498,0.552409366277962,0.870178335827466
"585","FA_MediallemniscusR",-0.182146260445779,-0.358531594330141,-0.00576092656141683,0.0660395984856424,0.505628336871667
"586","FA_MediallemniscusL",-0.134876091400117,-0.312006857895582,0.0422546750953478,0.163812187674534,0.675415873336012
"587","FA_InferiorcerebellarpeduncleR",-0.070226196757396,-0.237856659594607,0.0974042660798148,0.410609845869997,0.853245870895322
"588","FA_InferiorcerebellarpeduncleL",-0.143726690580928,-0.314235877856453,0.0267824966945964,0.111419470961492,0.596161041327495
"589","FA_SuperiorcerebellarpeduncleR",-0.279211790118349,-0.460467009036012,-0.0979565712006857,0.00134004327046382,0.0604592655811342
"590","FA_SuperiorcerebellarpeduncleL",-0.277855379611988,-0.458302539026662,-0.0974082201973142,0.00222267691997904,0.0785652294169239
"591","FA_CerebralpeduncleR",0.014768492515866,-0.156763800543312,0.186300785575044,0.862988869820151,0.951579295669381
"592","FA_CerebralpeduncleL",0.134745267929197,-0.0315599059269619,0.301050441785355,0.0853103365191306,0.551050554732045
"593","FA_AnteriorlimbofinternalcapsuleR",0.172133941069444,-8.70034762787963e-05,0.344354885615166,0.0342535858211781,0.407128334331717
"594","FA_AnteriorlimbofinternalcapsuleL",0.169126546607918,-0.00254512477410221,0.340798217989938,0.083871128633419,0.551050554732045
"595","FA_.PosteriorlimbofinternalcapsuleR",0.158113832472332,-0.0207266659915286,0.336954330936193,0.0606026932603152,0.49267111303811
"596","FA_PosteriorlimbofinternalcapsuleL",0.219015719614326,0.039441997774574,0.398589441454077,0.0093560912905027,0.192030772928397
"597","FA_RetrolenticularpartofinternalcapsuleR",-0.0480319770725514,-0.224918048394107,0.128854094249004,0.556400792106762,0.870178335827466
"598","FA_RetrolenticularpartofinternalcapsuleL",-0.0242734741257799,-0.2011039785965,0.15255703034494,0.779621580260588,0.921451495383694
"599","FA_AnteriorcoronaradiataR",0.0942589658803549,-0.0689428532193115,0.257460784980021,0.236336325399003,0.799316352568985
"600","FA_AnteriorcoronaradiataL",0.0807476455954521,-0.0787209037122102,0.240216194903114,0.333406566361546,0.853245870895322
"601","FA_SuperiorcoronaradiataR",-0.0282755745802734,-0.204790940548117,0.14823979138757,0.755090769051063,0.918851596659349
"602","FA_SuperiorcoronaradiataL",0.051770423942828,-0.124493703107061,0.228034550992717,0.558997092414068,0.870178335827466
"603","FA_PosteriorcoronaradiataR",-0.0632595774898704,-0.241951064893203,0.115431909913462,0.453118081467053,0.860717451553854
"604","FA_PosteriorcoronaradiataL",0.0413338432263302,-0.136876566191386,0.219544252644046,0.631509990847947,0.88144914915304
"605","FA_PosteriorthalamicradiationR",-0.182201441860392,-0.343563502931042,-0.0208393807897431,0.0290687624491987,0.375250680046641
"606","FA_PosteriorthalamicradiationL",-0.171348616150581,-0.332716193543914,-0.00998103875724698,0.0363443547484249,0.416761089521789
"607","FA_SagittalstratumR",0.0703182532297523,-0.0999817333277867,0.240618239787291,0.404951495043316,0.853245870895322
"608","FA_SagittalstratumL",-0.0802869862884168,-0.248659993252476,0.0880860206756422,0.365810238800342,0.853245870895322
"609","FA_ExternalcapsuleR",0.262357084797935,0.0919186046688812,0.432795564926988,0.00223671512842532,0.0785652294169239
"610","FA_ExternalcapsuleL",0.182513190981338,0.00950281318645341,0.355523568776223,0.0626466383454518,0.494596027845521
"611","FA_CingulumcingulategyrusR",0.126080613917735,-0.0494483645047563,0.301609592340227,0.114517189795352,0.596831938553316
"612","FA_CingulumcingulategyrusL",0.0351291027447772,-0.139323691744103,0.209581897233657,0.679668454931573,0.900452475323358
"613","FA_CingulumhippocampusR",0.219255349218981,0.0395233706373745,0.398987327800587,0.0251749372265776,0.361130134008837
"614","FA_CingulumhippocampusL",0.203180348939191,0.0229763131053367,0.383384384773045,0.0445210489749133,0.454061179935362
"615","FA_Fornix_StriaterminalisR",-0.110143426877503,-0.271348832360489,0.0510619786054833,0.227529877296976,0.784511739528445
"616","FA_Fornix_StriaterminalisL",-0.144957157334633,-0.307088544769969,0.0171742301007033,0.0830566742339773,0.551050554732045
"617","FA_SuperiorlongitudinalfasciculusR",-0.137690865966202,-0.316659812397545,0.0412780804651401,0.121508568318513,0.604904130760714
"618","FA_SuperiorlongitudinalfasciculusL",-0.0819533617998404,-0.260490006540928,0.0965832829412475,0.411205835184015,0.853245870895322
"619","FA_SuperiorfrontooccipitalfasciculusR",-0.139460584739317,-0.319603123371082,0.0406819538924475,0.117166526398688,0.596831938553316
"620","FA_SuperiorfrontooccipitalfasciculusL",-0.0708702999605253,-0.251238514257512,0.109497914336461,0.423348370868418,0.853245870895322
"621","FA_UncinatefasciculusR",0.348235592449372,0.168010256629508,0.528460928269237,0.000188557843564231,0.0196100157306801
"622","FA_UncinatefasciculusL",0.0371890784760026,-0.144176481461987,0.218554638413992,0.721578230366994,0.915172389733748
"623","FA_TapetumR",-0.265257521761712,-0.432042146890257,-0.0984728966331682,0.00085609517210378,0.0502406044338714
"624","FA_TapetumL",-0.191752671480819,-0.364430974356153,-0.0190743686054854,0.022295854132766,0.345208799163344
"625","MD_Middlecerebellarpeduncle",-0.0789416809437642,-0.262227749876652,0.104344387989124,0.420219686159084,0.853245870895322
"626","MD_Pontine",-0.056935567297451,-0.237520913953611,0.123649779358709,0.546074177050532,0.870178335827466
"627","MD_GenuCC",-0.229081598127938,-0.385938196363383,-0.0722249998924932,0.00168859876362077,0.0679797179677005
"628","MD_BodyCC",-0.34885167115582,-0.509141768583289,-0.188561573728351,4.25483661071535e-06,0.00177001203005759
"629","MD_SpleniumCC",-0.0959910044698912,-0.264019273814159,0.0720372648743769,0.189003790458181,0.716950548607324
"630","MD_Fornix",0.166728907752535,0.0220102278760227,0.311447587629048,0.0290852114577975,0.375250680046641
"631","MD_CorticospinaltractR",0.0202495580014045,-0.162400080351744,0.202899196354553,0.819651493494154,0.941506498239442
"632","MD_CorticospinaltractL",0.0265683614759365,-0.156028633138769,0.209165356090642,0.791812877354984,0.928742923814868
"633","MD_MediallemniscusR",0.115317740021677,-0.0672463432998486,0.297881823343203,0.261181954273538,0.833644703154412
"634","MD_MediallemniscusL",0.0382097531420818,-0.144362432120959,0.220781938405123,0.701402261381581,0.904287213020881
"635","MD_InferiorcerebellarpeduncleR",-0.0305392587105876,-0.212795087247644,0.151716569826469,0.732959677771124,0.91634452599917
"636","MD_InferiorcerebellarpeduncleL",-0.0390956281214573,-0.220669666688346,0.142478410445431,0.632425094703163,0.88144914915304
"637","MD_SuperiorcerebellarpeduncleR",0.171678366710335,-0.0114083939872875,0.354765127407958,0.0529478445264684,0.463711082325567
"638","MD_SuperiorcerebellarpeduncleL",0.165641838323062,-0.0174095883812972,0.348693265027421,0.0487913080108634,0.454414570131026
"639","MD_CerebralpeduncleR",0.0647135991175332,-0.116459465711903,0.24588666394697,0.434508812780201,0.853245870895322
"640","MD_CerebralpeduncleL",0.0183941710150496,-0.15988599369869,0.19667433572879,0.83308024833159,0.946024138014408
"641","MD_AnteriorlimbofinternalcapsuleR",-0.0992183444235989,-0.266514106687684,0.068077417840486,0.162422766670699,0.675415873336012
"642","MD_AnteriorlimbofinternalcapsuleL",-0.0263012821795412,-0.19642734880909,0.143824784450008,0.825978343107577,0.944463108428491
"643","MD_.PosteriorlimbofinternalcapsuleR",-0.0862158286540372,-0.26384724494327,0.0914155876351959,0.248439592991209,0.820245005431294
